id,first_name,last_name,gender,phone_number,id,product_id,customer_id,order_time
1,Chris,Martin,M,01123147789,309,4,1,"2022-07-18 14:19:05"
1,Chris,Martin,M,01123147789,326,1,1,"2022-09-03 12:46:07"
1,Chris,Martin,M,01123147789,329,1,1,"2022-09-08 06:07:50"
1,Chris,Martin,M,01123147789,331,1,1,"2022-09-14 19:52:14"
1,Chris,Martin,M,01123147789,411,1,1,"2023-02-25 04:16:35"
1,Chris,Martin,M,01123147789,433,1,1,"2023-04-20 21:55:58"
2,Emma,Law,F,01123439899,286,6,2,"2022-05-19 06:03:28"
2,Emma,Law,F,01123439899,392,4,2,"2023-01-17 03:18:12"
2,Emma,Law,F,01123439899,407,4,2,"2023-02-20 17:59:11"
2,Emma,Law,F,01123439899,413,3,2,"2023-02-26 10:52:48"
2,Emma,Law,F,01123439899,425,7,2,"2023-03-25 04:00:35"
2,Emma,Law,F,01123439899,430,2,2,"2023-04-12 15:40:05"
3,Mark,Watkins,M,01174592013,241,2,3,"2022-01-31 17:21:20"
3,Mark,Watkins,M,01174592013,246,7,3,"2022-02-15 21:48:10"
3,Mark,Watkins,M,01174592013,259,3,3,"2022-03-13 23:47:27"
3,Mark,Watkins,M,01174592013,276,2,3,"2022-04-06 01:22:00"
3,Mark,Watkins,M,01174592013,298,7,3,"2022-06-20 03:21:28"
3,Mark,Watkins,M,01174592013,302,5,3,"2022-06-27 12:42:48"
3,Mark,Watkins,M,01174592013,314,1,3,"2022-07-26 18:11:22"
3,Mark,Watkins,M,01174592013,343,2,3,"2022-10-10 14:44:57"
3,Mark,Watkins,M,01174592013,351,2,3,"2022-10-15 09:50:50"
3,Mark,Watkins,M,01174592013,386,4,3,"2023-01-11 20:48:30"
3,Mark,Watkins,M,01174592013,408,7,3,"2023-02-20 20:21:43"
3,Mark,Watkins,M,01174592013,434,1,3,"2023-04-25 06:21:12"
3,Mark,Watkins,M,01174592013,439,2,3,"2023-04-30 08:43:40"
4,Daniel,Williams,M,NULL,236,3,4,"2022-01-24 18:31:15"
4,Daniel,Williams,M,NULL,293,2,4,"2022-06-14 07:47:11"
4,Daniel,Williams,M,NULL,296,4,4,"2022-06-16 16:23:46"
4,Daniel,Williams,M,NULL,333,6,4,"2022-09-15 17:55:44"
4,Daniel,Williams,M,NULL,334,2,4,"2022-09-17 00:55:18"
5,Sarah,Taylor,F,01176348290,226,6,5,"2022-01-06 11:42:56"
5,Sarah,Taylor,F,01176348290,232,2,5,"2022-01-18 07:14:40"
5,Sarah,Taylor,F,01176348290,311,7,5,"2022-07-21 03:51:46"
5,Sarah,Taylor,F,01176348290,322,1,5,"2022-08-24 17:18:30"
5,Sarah,Taylor,F,01176348290,342,1,5,"2022-10-01 17:58:55"
5,Sarah,Taylor,F,01176348290,352,7,5,"2022-10-16 06:41:54"
5,Sarah,Taylor,F,01176348290,353,3,5,"2022-10-18 16:36:38"
5,Sarah,Taylor,F,01176348290,362,5,5,"2022-11-16 22:44:14"
5,Sarah,Taylor,F,01176348290,404,3,5,"2023-02-15 13:53:24"
6,Katie,Armstrong,F,01145787353,251,3,6,"2022-02-27 09:57:19"
6,Katie,Armstrong,F,01145787353,260,5,6,"2022-03-14 22:06:07"
6,Katie,Armstrong,F,01145787353,261,2,6,"2022-03-16 07:55:59"
6,Katie,Armstrong,F,01145787353,390,6,6,"2023-01-14 14:36:54"
6,Katie,Armstrong,F,01145787353,397,3,6,"2023-01-31 15:01:35"
6,Katie,Armstrong,F,01145787353,422,3,6,"2023-03-16 18:41:34"
7,Michael,Bluth,M,01980289282,238,2,7,"2022-01-28 10:55:20"
7,Michael,Bluth,M,01980289282,335,2,7,"2022-09-23 11:14:05"
7,Michael,Bluth,M,01980289282,345,7,7,"2022-10-12 12:14:31"
7,Michael,Bluth,M,01980289282,347,1,7,"2022-10-13 00:00:41"
7,Michael,Bluth,M,01980289282,366,5,7,"2022-11-29 06:53:56"
7,Michael,Bluth,M,01980289282,367,6,7,"2022-12-03 05:56:23"
7,Michael,Bluth,M,01980289282,378,5,7,"2022-12-31 12:11:08"
8,Kat,Nash,F,01176987789,231,2,8,"2022-01-17 19:26:45"
8,Kat,Nash,F,01176987789,237,6,8,"2022-01-28 04:10:12"
8,Kat,Nash,F,01176987789,303,2,8,"2022-06-30 15:43:09"
8,Kat,Nash,F,01176987789,320,6,8,"2022-08-20 12:47:07"
8,Kat,Nash,F,01176987789,336,7,8,"2022-09-25 11:01:44"
8,Kat,Nash,F,01176987789,421,1,8,"2023-03-13 06:40:51"
8,Kat,Nash,F,01176987789,432,6,8,"2023-04-16 18:58:47"
9,Buster,Bluth,M,01173456782,234,7,9,"2022-01-22 02:04:46"
9,Buster,Bluth,M,01173456782,240,6,9,"2022-01-30 23:36:50"
9,Buster,Bluth,M,01173456782,255,6,9,"2022-03-06 21:32:30"
9,Buster,Bluth,M,01173456782,344,2,9,"2022-10-10 19:53:39"
9,Buster,Bluth,M,01173456782,368,3,9,"2022-12-04 08:00:51"
9,Buster,Bluth,M,01173456782,405,3,9,"2023-02-16 19:54:44"
9,Buster,Bluth,M,01173456782,426,1,9,"2023-03-26 07:42:31"
10,Charlie,NULL,F,01139287883,239,3,10,"2022-01-30 14:15:02"
10,Charlie,NULL,F,01139287883,242,5,10,"2022-02-02 19:55:00"
10,Charlie,NULL,F,01139287883,265,1,10,"2022-03-19 08:34:14"
10,Charlie,NULL,F,01139287883,277,3,10,"2022-04-08 01:07:27"
10,Charlie,NULL,F,01139287883,291,5,10,"2022-06-14 02:57:14"
10,Charlie,NULL,F,01139287883,319,3,10,"2022-08-13 01:52:53"
10,Charlie,NULL,F,01139287883,321,7,10,"2022-08-21 23:45:39"
10,Charlie,NULL,F,01139287883,384,3,10,"2023-01-09 08:54:10"
10,Charlie,NULL,F,01139287883,399,2,10,"2023-02-05 01:07:36"
10,Charlie,NULL,F,01139287883,414,4,10,"2023-02-27 14:14:27"
10,Charlie,NULL,F,01139287883,418,4,10,"2023-03-08 00:43:45"
11,Lindsay,Bluth,F,01176923804,281,1,11,"2022-04-15 13:05:57"
11,Lindsay,Bluth,F,01176923804,295,1,11,"2022-06-15 23:53:02"
11,Lindsay,Bluth,F,01176923804,358,4,11,"2022-11-04 02:01:14"
12,Harry,Johnson,M,NULL,223,7,12,"2022-01-04 09:17:15"
12,Harry,Johnson,M,NULL,270,7,12,"2022-03-25 10:25:23"
12,Harry,Johnson,M,NULL,278,5,12,"2022-04-11 17:40:17"
12,Harry,Johnson,M,NULL,282,4,12,"2022-04-16 18:52:35"
12,Harry,Johnson,M,NULL,287,3,12,"2022-05-30 23:51:54"
12,Harry,Johnson,M,NULL,304,1,12,"2022-07-01 18:10:43"
12,Harry,Johnson,M,NULL,325,2,12,"2022-08-31 03:27:05"
12,Harry,Johnson,M,NULL,339,7,12,"2022-09-29 19:40:24"
12,Harry,Johnson,M,NULL,348,3,12,"2022-10-14 02:56:38"
12,Harry,Johnson,M,NULL,410,5,12,"2023-02-24 10:03:43"
12,Harry,Johnson,M,NULL,412,5,12,"2023-02-25 17:39:57"
12,Harry,Johnson,M,NULL,435,2,12,"2023-04-27 13:14:46"
13,John,Smith,M,01174987221,225,1,13,"2022-01-05 13:03:56"
13,John,Smith,M,01174987221,233,5,13,"2022-01-18 08:38:53"
13,John,Smith,M,01174987221,253,5,13,"2022-03-04 23:28:03"
13,John,Smith,M,01174987221,301,5,13,"2022-06-24 05:16:32"
13,John,Smith,M,01174987221,327,6,13,"2022-09-05 00:58:57"
13,John,Smith,M,01174987221,330,7,13,"2022-09-12 19:36:39"
13,John,Smith,M,01174987221,363,2,13,"2022-11-18 10:12:00"
13,John,Smith,M,01174987221,375,1,13,"2022-12-18 09:30:16"
13,John,Smith,M,01174987221,419,7,13,"2023-03-11 10:15:40"
14,John,Taylor,M,NULL,247,4,14,"2022-02-17 22:58:00"
14,John,Taylor,M,NULL,250,5,14,"2022-02-26 15:07:23"
14,John,Taylor,M,NULL,257,5,14,"2022-03-12 05:21:19"
14,John,Taylor,M,NULL,285,3,14,"2022-05-19 01:35:16"
14,John,Taylor,M,NULL,308,4,14,"2022-07-13 10:14:16"
14,John,Taylor,M,NULL,317,2,14,"2022-08-08 07:57:52"
14,John,Taylor,M,NULL,323,6,14,"2022-08-25 18:54:40"
14,John,Taylor,M,NULL,328,6,14,"2022-09-06 13:16:42"
14,John,Taylor,M,NULL,340,5,14,"2022-09-29 21:33:57"
14,John,Taylor,M,NULL,357,3,14,"2022-11-01 18:11:58"
14,John,Taylor,M,NULL,359,6,14,"2022-11-04 11:11:59"
14,John,Taylor,M,NULL,364,2,14,"2022-11-20 07:36:35"
14,John,Taylor,M,NULL,379,2,14,"2022-12-31 18:43:41"
15,Emma,Smith,F,01176984116,288,6,15,"2022-06-04 20:43:00"
15,Emma,Smith,F,01176984116,338,6,15,"2022-09-28 19:45:30"
15,Emma,Smith,F,01176984116,354,3,15,"2022-10-24 12:06:19"
15,Emma,Smith,F,01176984116,370,6,15,"2022-12-07 17:52:25"
15,Emma,Smith,F,01176984116,380,5,15,"2023-01-01 02:06:24"
15,Emma,Smith,F,01176984116,440,3,15,"2023-04-30 19:43:25"
16,Gob,Bluth,M,01176985498,228,6,16,"2022-01-12 02:19:12"
16,Gob,Bluth,M,01176985498,244,6,16,"2022-02-11 17:26:52"
16,Gob,Bluth,M,01176985498,248,3,16,"2022-02-18 00:07:08"
16,Gob,Bluth,M,01176985498,254,5,16,"2022-03-05 21:00:20"
16,Gob,Bluth,M,01176985498,267,2,16,"2022-03-20 23:33:25"
16,Gob,Bluth,M,01176985498,271,2,16,"2022-03-30 19:48:17"
16,Gob,Bluth,M,01176985498,280,1,16,"2022-04-15 10:32:10"
16,Gob,Bluth,M,01176985498,332,3,16,"2022-09-15 17:09:11"
16,Gob,Bluth,M,01176985498,371,2,16,"2022-12-13 02:34:51"
16,Gob,Bluth,M,01176985498,377,2,16,"2022-12-20 11:43:57"
16,Gob,Bluth,M,01176985498,385,7,16,"2023-01-10 21:53:58"
16,Gob,Bluth,M,01176985498,401,3,16,"2023-02-12 13:22:49"
16,Gob,Bluth,M,01176985498,423,4,16,"2023-03-17 12:02:08"
16,Gob,Bluth,M,01176985498,436,5,16,"2023-04-28 20:52:19"
17,George,Bluth,M,01176984303,222,6,17,"2022-01-03 20:52:17"
17,George,Bluth,M,01176984303,224,7,17,"2022-01-04 15:55:16"
17,George,Bluth,M,01176984303,264,3,17,"2022-03-18 01:16:45"
17,George,Bluth,M,01176984303,274,1,17,"2022-04-04 09:33:28"
17,George,Bluth,M,01176984303,349,5,17,"2022-10-15 01:50:02"
17,George,Bluth,M,01176984303,374,2,17,"2022-12-18 09:16:04"
17,George,Bluth,M,01176984303,409,6,17,"2023-02-23 09:34:18"
18,Lucille,Bluth,F,01198773214,221,3,18,"2022-01-01 01:40:42"
18,Lucille,Bluth,F,01198773214,262,5,18,"2022-03-16 10:47:18"
18,Lucille,Bluth,F,01198773214,266,2,18,"2022-03-19 08:38:47"
18,Lucille,Bluth,F,01198773214,269,6,18,"2022-03-23 12:02:27"
18,Lucille,Bluth,F,01198773214,273,5,18,"2022-04-04 03:32:19"
18,Lucille,Bluth,F,01198773214,279,5,18,"2022-04-13 03:35:11"
18,Lucille,Bluth,F,01198773214,283,6,18,"2022-05-02 06:10:08"
18,Lucille,Bluth,F,01198773214,290,4,18,"2022-06-11 18:36:38"
18,Lucille,Bluth,F,01198773214,294,3,18,"2022-06-15 13:41:34"
18,Lucille,Bluth,F,01198773214,306,7,18,"2022-07-05 14:38:47"
18,Lucille,Bluth,F,01198773214,307,1,18,"2022-07-08 10:51:32"
18,Lucille,Bluth,F,01198773214,312,7,18,"2022-07-24 16:55:59"
18,Lucille,Bluth,F,01198773214,355,6,18,"2022-10-29 11:01:30"
18,Lucille,Bluth,F,01198773214,394,4,18,"2023-01-19 05:08:43"
18,Lucille,Bluth,F,01198773214,415,7,18,"2023-03-01 19:08:17"
18,Lucille,Bluth,F,01198773214,424,5,18,"2023-03-17 15:58:18"
18,Lucille,Bluth,F,01198773214,428,3,18,"2023-04-06 10:37:10"
18,Lucille,Bluth,F,01198773214,429,5,18,"2023-04-11 09:08:31"
19,George,Evans,M,01174502933,230,5,19,"2022-01-14 16:42:08"
19,George,Evans,M,01174502933,272,4,19,"2022-03-31 18:36:27"
19,George,Evans,M,01174502933,299,5,19,"2022-06-21 15:49:30"
19,George,Evans,M,01174502933,369,2,19,"2022-12-05 10:10:35"
19,George,Evans,M,01174502933,382,6,19,"2023-01-08 16:51:15"
19,George,Evans,M,01174502933,393,2,19,"2023-01-17 14:15:49"
19,George,Evans,M,01174502933,398,7,19,"2023-02-01 19:15:43"
19,George,Evans,M,01174502933,400,3,19,"2023-02-09 00:23:19"
20,Emily,Simmonds,F,01899284352,229,4,20,"2022-01-13 10:51:51"
20,Emily,Simmonds,F,01899284352,252,5,20,"2022-03-04 14:06:52"
20,Emily,Simmonds,F,01899284352,258,4,20,"2022-03-13 21:17:58"
20,Emily,Simmonds,F,01899284352,275,7,20,"2022-04-05 12:18:04"
20,Emily,Simmonds,F,01899284352,297,6,20,"2022-06-19 10:15:41"
20,Emily,Simmonds,F,01899284352,316,7,20,"2022-08-07 13:08:16"
20,Emily,Simmonds,F,01899284352,324,2,20,"2022-08-29 01:07:00"
20,Emily,Simmonds,F,01899284352,361,6,20,"2022-11-12 19:56:03"
20,Emily,Simmonds,F,01899284352,376,1,20,"2022-12-18 13:27:18"
20,Emily,Simmonds,F,01899284352,387,2,20,"2023-01-12 19:14:00"
20,Emily,Simmonds,F,01899284352,395,3,20,"2023-01-25 13:23:56"
20,Emily,Simmonds,F,01899284352,406,2,20,"2023-02-17 08:22:49"
20,Emily,Simmonds,F,01899284352,417,2,20,"2023-03-07 09:02:13"
21,John,Smith,M,01144473330,263,1,21,"2022-03-17 00:05:01"
21,John,Smith,M,01144473330,268,5,21,"2022-03-22 00:08:04"
21,John,Smith,M,01144473330,337,2,21,"2022-09-26 19:11:54"
21,John,Smith,M,01144473330,356,7,21,"2022-10-31 05:03:39"
21,John,Smith,M,01144473330,388,5,21,"2023-01-13 06:07:12"
21,John,Smith,M,01144473330,402,2,21,"2023-02-12 23:49:48"
21,John,Smith,M,01144473330,427,1,21,"2023-03-30 00:43:56"
22,Jennifer,NULL,F,NULL,235,6,22,"2022-01-23 03:58:18"
22,Jennifer,NULL,F,NULL,243,3,22,"2022-02-06 11:15:53"
22,Jennifer,NULL,F,NULL,256,1,22,"2022-03-10 19:32:25"
22,Jennifer,NULL,F,NULL,284,3,22,"2022-05-13 22:02:39"
22,Jennifer,NULL,F,NULL,346,6,22,"2022-10-12 23:14:06"
22,Jennifer,NULL,F,NULL,372,1,22,"2022-12-14 01:22:55"
22,Jennifer,NULL,F,NULL,381,3,22,"2023-01-01 11:50:28"
22,Jennifer,NULL,F,NULL,383,3,22,"2023-01-09 01:53:24"
22,Jennifer,NULL,F,NULL,416,6,22,"2023-03-03 09:07:34"
22,Jennifer,NULL,F,NULL,437,7,22,"2023-04-29 09:24:08"
23,Toby,West,M,01176009822,289,7,23,"2022-06-10 03:07:28"
23,Toby,West,M,01176009822,313,5,23,"2022-07-25 09:55:47"
23,Toby,West,M,01176009822,341,7,23,"2022-10-01 13:53:24"
23,Toby,West,M,01176009822,360,3,23,"2022-11-04 16:09:35"
23,Toby,West,M,01176009822,420,1,23,"2023-03-12 20:09:35"
23,Toby,West,M,01176009822,431,4,23,"2023-04-15 23:00:27"
23,Toby,West,M,01176009822,438,1,23,"2023-04-29 17:58:14"
24,Paul,Edmonds,M,01966947113,227,6,24,"2022-01-09 02:07:29"
24,Paul,Edmonds,M,01966947113,245,2,24,"2022-02-14 15:14:33"
24,Paul,Edmonds,M,01966947113,249,1,24,"2022-02-18 16:01:32"
24,Paul,Edmonds,M,01966947113,292,4,24,"2022-06-14 03:41:39"
24,Paul,Edmonds,M,01966947113,315,1,24,"2022-07-28 15:10:55"
24,Paul,Edmonds,M,01966947113,318,7,24,"2022-08-12 06:17:46"
24,Paul,Edmonds,M,01966947113,350,5,24,"2022-10-15 08:03:14"
24,Paul,Edmonds,M,01966947113,365,7,24,"2022-11-25 05:52:36"
24,Paul,Edmonds,M,01966947113,373,4,24,"2022-12-16 13:08:26"
24,Paul,Edmonds,M,01966947113,389,3,24,"2023-01-13 06:22:54"
24,Paul,Edmonds,M,01966947113,391,7,24,"2023-01-15 17:18:15"
24,Paul,Edmonds,M,01966947113,396,1,24,"2023-01-31 06:17:11"
24,Paul,Edmonds,M,01966947113,403,2,24,"2023-02-14 10:09:56"
